,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
52,103.77102291663,1.3043637142028401,CLEMENTI ROAD,Layers/Expressway_Sliproad,2,1.3044,103.771,"1.3044,103.771",611,CLEMENTI WEST STREET 1
53,103.773784637577,1.30301943764902,CLEMENTI ROAD,Layers/Expressway_Sliproad,2,1.303,103.7738,"1.303,103.7738",,
54,103.77883571171,1.36897895788385,DAIRY FARM ROAD,Layers/Expressway_Sliproad,2,1.369,103.7788,"1.369,103.7788",,
55,103.78039738609101,1.3620019555824,DAIRY FARM ROAD,Layers/Expressway_Sliproad,2,1.362,103.7804,"1.362,103.7804",,
56,103.89290459493799,1.29552944481682,EAST COAST PARK SERVICE ROAD,Layers/Expressway_Sliproad,2,1.2955,103.8929,"1.2955,103.8929",,
57,103.77133364114401,1.3071099351436102,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3071,103.7713,"1.3071,103.7713",424,CLEMENTI AVENUE 1
58,103.770239566336,1.30568481241672,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3057,103.7702,"1.3057,103.7702",610,CLEMENTI WEST STREET 1
59,103.76615773844,1.30775069238798,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3078,103.7662,"1.3078,103.7662",466,CLEMENTI AVENUE 1
60,103.764416861284,1.30720915237526,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3072,103.7644,"1.3072,103.7644",706,CLEMENTI WEST STREET 2
61,103.765542796641,1.3086026337669598,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3086,103.7655,"1.3086,103.7655",466,CLEMENTI AVENUE 1
62,103.766330942559,1.3083201163511202,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3083,103.7663,"1.3083,103.7663",466,CLEMENTI AVENUE 1
63,103.766796034608,1.3099090757714198,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3099,103.7668,"1.3099,103.7668",466A,CLEMENTI AVENUE 1
64,103.765525281789,1.3093521765881202,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3094,103.7655,"1.3094,103.7655",466,CLEMENTI AVENUE 1
65,103.76178999878,1.31269728114762,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3127,103.7618,"1.3127,103.7618",506,WEST COAST DRIVE
66,103.760566874354,1.3129155826094399,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3129,103.7606,"1.3129,103.7606",506,WEST COAST DRIVE
67,103.75679945622299,1.31830035309945,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3183,103.7568,"1.3183,103.7568",,
68,103.76095092072201,1.3141235102897,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3141,103.761,"1.3141,103.761",433,CLEMENTI AVENUE 3
69,103.761318326362,1.31633151205373,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3163,103.7613,"1.3163,103.7613",434,CLEMENTI AVENUE 3
70,103.75966455135901,1.3154687011514798,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3155,103.7597,"1.3155,103.7597",434,CLEMENTI AVENUE 3
71,103.66655247042699,1.32156296911427,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3216,103.6666,"1.3216,103.6666",,
72,103.70526088470699,1.32212985012043,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3221,103.7053,"1.3221,103.7053",,
73,103.69908061501499,1.3222223009820802,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3222,103.6991,"1.3222,103.6991",,
74,103.746340912164,1.32284767134443,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3228,103.7463,"1.3228,103.7463",416,PANDAN GARDENS
75,103.675976758885,1.32275911274451,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3228,103.676,"1.3228,103.676",,
76,103.715386000753,1.3223560232752198,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3224,103.7154,"1.3224,103.7154",,
77,103.68281907322701,1.32247625584905,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3225,103.6828,"1.3225,103.6828",,
78,103.691108560611,1.32295153591155,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.323,103.6911,"1.323,103.6911",,
79,103.745751480002,1.3222566118035601,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3223,103.7458,"1.3223,103.7458",414,PANDAN GARDENS
80,103.74577078924,1.32286463330476,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3229,103.7458,"1.3229,103.7458",,
81,103.66354339488501,1.32241013813026,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3224,103.6635,"1.3224,103.6635",,
82,103.663733703676,1.3236187098573702,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3236,103.6637,"1.3236,103.6637",,
83,103.74609106658001,1.32373563269853,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3237,103.7461,"1.3237,103.7461",,
84,103.74571722127399,1.3245253503955101,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3245,103.7457,"1.3245,103.7457",,
85,103.72383804481599,1.32473081337893,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3247,103.7238,"1.3247,103.7238",140,CORPORATION DRIVE
86,103.745163518834,1.32391187822944,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3239,103.7452,"1.3239,103.7452",,
87,103.771539738619,1.42324051004995,BUKIT TIMAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4232,103.7715,"1.4232,103.7715",,
88,103.76870323480101,1.4306111805587198,BUKIT TIMAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4306,103.7687,"1.4306,103.7687",,
89,103.76764045512199,1.4306235083120502,BUKIT TIMAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4306,103.7676,"1.4306,103.7676",,
90,103.768930512148,1.43135825704316,BUKIT TIMAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4314,103.7689,"1.4314,103.7689",,
91,103.76827482114,1.43994541561293,BUKIT TIMAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.4399,103.7683,"1.4399,103.7683",,
92,103.844197064027,1.3110638949873799,BUKIT TIMAH ROAD,Layers/Expressway_Sliproad,2,1.3111,103.8442,"1.3111,103.8442",,
93,103.844197064027,1.3110638949873799,BUKIT TIMAH ROAD,Layers/Expressway_Sliproad,2,1.3111,103.8442,"1.3111,103.8442",,
94,103.844836710073,1.31294744502532,BUKIT TIMAH ROAD,Layers/Expressway_Sliproad,2,1.3129,103.8448,"1.3129,103.8448",,
95,103.77563029455901,1.3357668233026299,BUKIT TIMAH ROAD,Layers/Expressway_Sliproad,2,1.3358,103.7756,"1.3358,103.7756",7,TOH YI DRIVE
96,103.84059595639201,1.30722048009391,CAIRNHILL CIRCLE,Layers/Expressway_Sliproad,2,1.3072,103.8406,"1.3072,103.8406",,
97,103.8290357139,1.27907078171815,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2791,103.829,"1.2791,103.829",132,JALAN BUKIT MERAH
98,103.82966129887899,1.2786563520303602,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2787,103.8297,"1.2787,103.8297",140,JALAN BUKIT MERAH
99,103.82957984457501,1.27933042213651,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2793,103.8296,"1.2793,103.8296",130,KIM TIAN ROAD
100,103.8355864789,1.28358456379036,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2836,103.8356,"1.2836,103.8356",55,TIONG BAHRU ROAD
101,103.83716322501199,1.2843396306408998,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2843,103.8372,"1.2843,103.8372",13,YORK HILL
102,103.843059098186,1.2877131925766898,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2877,103.8431,"1.2877,103.8431",51,CHIN SWEE ROAD
103,103.843120830747,1.28962812978621,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2896,103.8431,"1.2896,103.8431",51,CHIN SWEE ROAD
104,103.842339849837,1.2905882227041698,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2906,103.8423,"1.2906,103.8423",,
105,103.84264117506599,1.2898941441909901,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.2899,103.8426,"1.2899,103.8426",51,CHIN SWEE ROAD
106,103.84280419688,1.30135759261724,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3014,103.8428,"1.3014,103.8428",,
107,103.84322273419701,1.3009534113886498,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.301,103.8432,"1.301,103.8432",,
108,103.84296157765101,1.30173443539481,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3017,103.843,"1.3017,103.843",,
109,103.83947583808599,1.30623756432704,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3062,103.8395,"1.3062,103.8395",,
110,103.844989782656,1.3116247340741298,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3116,103.845,"1.3116,103.845",,
111,103.851016335568,1.31905650765463,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3191,103.851,"1.3191,103.851",69,MOULMEIN ROAD
112,103.85425247165001,1.31896855283548,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.319,103.8543,"1.319,103.8543",101,WHAMPOA DRIVE
113,103.853655609092,1.3191304788688503,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3191,103.8537,"1.3191,103.8537",101,WHAMPOA DRIVE
114,103.85080918185999,1.3193443774298501,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3193,103.8508,"1.3193,103.8508",69,MOULMEIN ROAD
115,103.851066470614,1.31935994242606,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3194,103.8511,"1.3194,103.8511",69,MOULMEIN ROAD
116,103.853773172908,1.31846940364943,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3185,103.8538,"1.3185,103.8538",54,KENT ROAD
117,103.862631680439,1.3300301271583799,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.33,103.8626,"1.33,103.8626",117,JALAN TENTERAM
118,103.862015174904,1.3314888417706299,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3315,103.862,"1.3315,103.862",265,KIM KEAT AVENUE
119,103.865808343957,1.3291921220533,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3292,103.8658,"1.3292,103.8658",,
120,103.86395005776801,1.33005740206098,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3301,103.864,"1.3301,103.864",144,POTONG PASIR AVENUE 2
121,103.864406051376,1.32998462483185,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.33,103.8644,"1.33,103.8644",144,POTONG PASIR AVENUE 2
